ZCTA,Population_65plus,Median_Income,Heart_Disease_Prevalence,Diabetes_Prevalence,Obesity_Prevalence,Arthritis_Prevalence
09251,1771,142785,13.6,14.2,48.5,28.1
09252,1182,88607,14.1,18.3,21.8,22.2
09253,1828,119920,8.9,7.4,35.0,39.0
09254,3951,52015,7.9,23.9,24.9,34.6
09255,2242,98060,6.3,15.4,47.7,20.1
09256,1248,105224,12.7,11.7,21.0,23.8
09257,353,39350,5.4,5.3,42.0,36.7
09258,4202,129752,10.5,18.5,45.9,19.3
09259,3642,59045,9.8,24.4,28.3,32.5
09260,2875,97302,6.0,16.2,41.9,29.1
09261,4737,132015,14.8,11.7,22.6,28.8
09262,3433,145758,13.2,13.4,24.8,30.7
09263,4284,146684,3.2,16.4,48.8,24.3
09264,3379,32353,8.1,18.8,26.8,30.7
09265,4408,33578,7.3,8.7,28.7,33.8
09266,2981,73008,13.6,23.7,46.8,28.1
09267,365,98203,6.2,13.3,28.8,26.1
09268,2440,25013,15.0,17.5,35.5,17.0
09269,3248,81549,5.4,23.2,28.9,15.5
09270,3459,45570,5.9,16.6,41.4,22.7
09271,1104,143163,11.0,18.7,49.1,15.8
09272,2194,102304,4.9,17.7,23.5,39.0
09273,4817,74155,13.7,10.0,44.0,15.4
09274,3371,118181,4.3,24.3,37.1,38.8
09275,4622,57407,14.8,14.4,36.3,31.7
09276,309,28290,13.5,7.0,38.6,17.7
09277,987,135155,13.1,25.0,44.7,21.4
09278,253,86282,7.9,18.0,41.2,39.4
09279,3693,136774,9.2,17.2,35.1,15.1
09280,514,65698,8.5,23.3,20.9,15.6
09281,3524,83946,14.8,15.8,32.1,37.1
09282,1384,104581,3.4,12.2,47.0,27.4
09283,3248,70759,7.6,8.5,37.3,16.7
09284,868,95362,14.6,21.2,31.5,35.3
09285,1082,130844,7.4,11.6,22.0,25.2
09286,3302,129464,7.8,15.3,49.0,26.0
09287,4774,94509,10.6,15.2,26.9,36.3
09288,3626,52118,13.9,19.8,40.0,15.7
09289,2887,51218,6.5,18.7,37.8,37.1
09290,2310,51065,14.4,13.5,25.0,34.3
09291,1138,113507,6.4,13.5,26.3,19.9
09292,4032,70018,12.8,10.4,48.2,25.0
09293,641,87544,6.3,11.8,49.9,29.5
09294,458,56498,3.9,19.2,31.0,20.8
09295,949,121612,12.7,16.2,35.0,21.6
09296,4622,80529,8.4,6.0,35.6,27.9
09297,2644,44617,7.7,15.2,23.8,29.9
09298,4681,121430,8.2,24.1,49.2,24.1
09299,1931,84039,10.3,7.2,29.2,38.9
09300,1572,42770,6.2,7.1,33.2,19.0
09301,1536,98079,5.8,18.4,46.4,23.4
09302,429,78944,8.8,24.2,41.1,34.2
09303,4454,42581,3.4,5.5,28.9,30.6
09304,4338,43669,10.7,11.9,21.9,17.8
