Provider_ID,Provider_Name,Hospital_CCN,Affiliation_Status
PRV000001,Provider Name 1,886126,Active
PRV000002,Provider Name 2,447929,Active
PRV000003,Provider Name 3,577571,Active
PRV000004,Provider Name 4,215479,Active
PRV000005,Provider Name 5,799747,Active
PRV000006,Provider Name 6,935133,Active
PRV000007,Provider Name 7,693706,Active
PRV000008,Provider Name 8,466597,Active
PRV000009,Provider Name 9,711704,Active
PRV000010,Provider Name 10,120981,Active
PRV000011,Provider Name 11,157651,Active
PRV000012,Provider Name 12,765848,Active
PRV000013,Provider Name 13,105307,Active
PRV000014,Provider Name 14,389249,Active
PRV000015,Provider Name 15,775627,Active
PRV000016,Provider Name 16,761217,Active
PRV000017,Provider Name 17,312918,Active
PRV000018,Provider Name 18,866150,Active
PRV000019,Provider Name 19,931521,Active
PRV000020,Provider Name 20,849370,Active
PRV000021,Provider Name 21,226882,Active
PRV000022,Provider Name 22,142866,Active
PRV000023,Provider Name 23,895913,Active
PRV000024,Provider Name 24,591652,Active
PRV000025,Provider Name 25,111161,Active
PRV000026,Provider Name 26,491803,Active
PRV000027,Provider Name 27,226882,Active
PRV000028,Provider Name 28,729591,Active
PRV000029,Provider Name 29,214210,Active
PRV000030,Provider Name 30,775717,Active
PRV000031,Provider Name 31,305979,Active
PRV000032,Provider Name 32,861417,Active
PRV000033,Provider Name 33,897456,Active
PRV000034,Provider Name 34,693880,Active
PRV000035,Provider Name 35,737608,Active
PRV000036,Provider Name 36,841419,Active
PRV000037,Provider Name 37,771996,Active
PRV000038,Provider Name 38,693063,Active
PRV000039,Provider Name 39,460218,Active
PRV000040,Provider Name 40,396893,Active
PRV000041,Provider Name 41,812123,Active
PRV000042,Provider Name 42,965434,Active
PRV000043,Provider Name 43,802103,Active
PRV000044,Provider Name 44,875932,Active
PRV000045,Provider Name 45,155106,Active
PRV000046,Provider Name 46,389741,Active
PRV000047,Provider Name 47,546061,Active
PRV000048,Provider Name 48,247394,Active
PRV000049,Provider Name 49,528245,Active
PRV000050,Provider Name 50,361159,Active
PRV000051,Provider Name 51,155106,Active
PRV000052,Provider Name 52,568550,Active
PRV000053,Provider Name 53,389741,Active
PRV000054,Provider Name 54,265010,Active
PRV000055,Provider Name 55,476884,Active
PRV000056,Provider Name 56,568550,Active
PRV000057,Provider Name 57,729591,Active
PRV000058,Provider Name 58,546061,Active
PRV000059,Provider Name 59,761217,Active
PRV000060,Provider Name 60,336450,Active
PRV000061,Provider Name 61,711420,Active
PRV000062,Provider Name 62,751491,Active
PRV000063,Provider Name 63,897456,Active
PRV000064,Provider Name 64,577200,Active
PRV000065,Provider Name 65,177564,Active
PRV000066,Provider Name 66,551505,Active
PRV000067,Provider Name 67,866680,Active
PRV000068,Provider Name 68,682278,Active
PRV000069,Provider Name 69,886126,Active
PRV000070,Provider Name 70,386412,Active
PRV000071,Provider Name 71,517824,Active
PRV000072,Provider Name 72,875932,Active
PRV000073,Provider Name 73,642023,Active
PRV000074,Provider Name 74,961023,Active
PRV000075,Provider Name 75,693706,Active
PRV000076,Provider Name 76,568959,Active
PRV000077,Provider Name 77,341576,Active
PRV000078,Provider Name 78,338959,Active
PRV000079,Provider Name 79,809646,Active
PRV000080,Provider Name 80,376292,Active
PRV000081,Provider Name 81,372624,Active
PRV000082,Provider Name 82,528245,Active
PRV000083,Provider Name 83,267112,Active
PRV000084,Provider Name 84,377988,Active
PRV000085,Provider Name 85,599819,Active
PRV000086,Provider Name 86,906264,Active
PRV000087,Provider Name 87,982992,Active
PRV000088,Provider Name 88,640853,Active
PRV000089,Provider Name 89,485541,Active
PRV000090,Provider Name 90,471583,Active
PRV000091,Provider Name 91,367364,Active
PRV000092,Provider Name 92,376126,Active
PRV000093,Provider Name 93,671932,Active
PRV000094,Provider Name 94,866150,Active
PRV000095,Provider Name 95,337684,Active
PRV000096,Provider Name 96,711420,Active
PRV000097,Provider Name 97,966377,Active
PRV000098,Provider Name 98,163080,Active
PRV000099,Provider Name 99,861417,Active
PRV000100,Provider Name 100,711704,Active
PRV000101,Provider Name 101,376126,Active
PRV000102,Provider Name 102,940283,Active
PRV000103,Provider Name 103,894043,Active
PRV000104,Provider Name 104,764083,Active
PRV000105,Provider Name 105,982004,Active
PRV000106,Provider Name 106,562186,Active
PRV000107,Provider Name 107,624667,Active
PRV000108,Provider Name 108,532788,Active
PRV000109,Provider Name 109,168851,Active
PRV000110,Provider Name 110,180556,Active
PRV000111,Provider Name 111,491803,Active
PRV000112,Provider Name 112,513462,Active
PRV000113,Provider Name 113,893075,Active
PRV000114,Provider Name 114,390226,Active
PRV000115,Provider Name 115,894043,Active
PRV000116,Provider Name 116,528245,Active
PRV000117,Provider Name 117,386412,Active
PRV000118,Provider Name 118,372624,Active
PRV000119,Provider Name 119,878896,Active
PRV000120,Provider Name 120,295591,Active
PRV000121,Provider Name 121,389249,Active
PRV000122,Provider Name 122,895913,Active
PRV000123,Provider Name 123,657675,Active
PRV000124,Provider Name 124,367364,Active
PRV000125,Provider Name 125,216641,Active
PRV000126,Provider Name 126,367364,Active
PRV000127,Provider Name 127,118478,Active
PRV000128,Provider Name 128,822182,Active
PRV000129,Provider Name 129,213458,Active
PRV000130,Provider Name 130,897456,Active
PRV000131,Provider Name 131,377988,Active
PRV000132,Provider Name 132,619520,Active
PRV000133,Provider Name 133,601911,Active
PRV000134,Provider Name 134,823734,Active
PRV000135,Provider Name 135,802103,Active
PRV000136,Provider Name 136,805621,Active
PRV000137,Provider Name 137,961023,Active
PRV000138,Provider Name 138,487349,Active
PRV000139,Provider Name 139,429327,Active
PRV000140,Provider Name 140,982992,Active
PRV000141,Provider Name 141,349723,Active
PRV000142,Provider Name 142,390226,Active
PRV000143,Provider Name 143,293985,Active
PRV000144,Provider Name 144,287265,Active
PRV000145,Provider Name 145,693002,Active
PRV000146,Provider Name 146,977429,Active
PRV000147,Provider Name 147,297361,Active
PRV000148,Provider Name 148,536486,Active
PRV000149,Provider Name 149,549651,Active
PRV000150,Provider Name 150,866680,Active
PRV000151,Provider Name 151,640853,Active
PRV000152,Provider Name 152,765848,Active
PRV000153,Provider Name 153,693880,Active
PRV000154,Provider Name 154,591652,Active
PRV000155,Provider Name 155,370131,Active
PRV000156,Provider Name 156,451012,Active
PRV000157,Provider Name 157,897456,Active
PRV000158,Provider Name 158,974968,Active
PRV000159,Provider Name 159,931349,Active
PRV000160,Provider Name 160,268190,Active
PRV000161,Provider Name 161,118748,Active
PRV000162,Provider Name 162,835839,Active
PRV000163,Provider Name 163,690415,Active
PRV000164,Provider Name 164,608720,Active
PRV000165,Provider Name 165,715093,Active
PRV000166,Provider Name 166,360506,Active
PRV000167,Provider Name 167,960295,Active
PRV000168,Provider Name 168,185620,Active
PRV000169,Provider Name 169,305979,Active
PRV000170,Provider Name 170,870780,Active
PRV000171,Provider Name 171,693706,Active
PRV000172,Provider Name 172,748281,Active
PRV000173,Provider Name 173,715093,Active
PRV000174,Provider Name 174,377558,Active
PRV000175,Provider Name 175,805621,Active
PRV000176,Provider Name 176,523868,Active
PRV000177,Provider Name 177,334297,Active
PRV000178,Provider Name 178,966377,Active
PRV000179,Provider Name 179,599819,Active
PRV000180,Provider Name 180,780838,Active
PRV000181,Provider Name 181,895913,Active
PRV000182,Provider Name 182,859317,Active
PRV000183,Provider Name 183,429327,Active
PRV000184,Provider Name 184,386412,Active
PRV000185,Provider Name 185,372624,Active
PRV000186,Provider Name 186,872351,Active
PRV000187,Provider Name 187,636505,Active
PRV000188,Provider Name 188,895551,Active
PRV000189,Provider Name 189,987009,Active
PRV000190,Provider Name 190,367120,Active
PRV000191,Provider Name 191,118748,Active
PRV000192,Provider Name 192,327512,Active
PRV000193,Provider Name 193,118478,Active
PRV000194,Provider Name 194,546061,Active
PRV000195,Provider Name 195,341478,Active
PRV000196,Provider Name 196,898960,Active
PRV000197,Provider Name 197,693880,Active
PRV000198,Provider Name 198,288500,Active
PRV000199,Provider Name 199,450142,Active
PRV000200,Provider Name 200,940283,Active
PRV000201,Provider Name 201,563895,Active
PRV000202,Provider Name 202,761217,Active
PRV000203,Provider Name 203,568550,Active
PRV000204,Provider Name 204,166223,Active
PRV000205,Provider Name 205,520009,Active
PRV000206,Provider Name 206,878896,Active
PRV000207,Provider Name 207,577200,Active
PRV000208,Provider Name 208,144794,Active
PRV000209,Provider Name 209,775717,Active
PRV000210,Provider Name 210,331915,Active
PRV000211,Provider Name 211,671932,Active
PRV000212,Provider Name 212,886126,Active
PRV000213,Provider Name 213,531411,Active
PRV000214,Provider Name 214,437316,Active
PRV000215,Provider Name 215,501820,Active
PRV000216,Provider Name 216,952759,Active
PRV000217,Provider Name 217,763164,Active
PRV000218,Provider Name 218,327512,Active
PRV000219,Provider Name 219,216641,Active
PRV000220,Provider Name 220,764083,Active
PRV000221,Provider Name 221,780838,Active
PRV000222,Provider Name 222,177988,Active
PRV000223,Provider Name 223,626897,Active
PRV000224,Provider Name 224,693880,Active
PRV000225,Provider Name 225,458163,Active
PRV000226,Provider Name 226,721389,Active
PRV000227,Provider Name 227,349728,Active
PRV000228,Provider Name 228,215479,Active
PRV000229,Provider Name 229,374329,Active
PRV000230,Provider Name 230,751491,Active
PRV000231,Provider Name 231,389249,Active
PRV000232,Provider Name 232,312918,Active
PRV000233,Provider Name 233,161292,Active
PRV000234,Provider Name 234,216641,Active
PRV000235,Provider Name 235,744995,Active
PRV000236,Provider Name 236,764083,Active
PRV000237,Provider Name 237,170175,Active
PRV000238,Provider Name 238,568959,Active
PRV000239,Provider Name 239,461113,Active
PRV000240,Provider Name 240,471583,Active
PRV000241,Provider Name 241,743427,Active
PRV000242,Provider Name 242,360506,Active
PRV000243,Provider Name 243,628308,Active
PRV000244,Provider Name 244,859317,Active
PRV000245,Provider Name 245,935133,Active
PRV000246,Provider Name 246,665041,Active
PRV000247,Provider Name 247,763164,Active
PRV000248,Provider Name 248,971841,Active
