ZCTA,Population_65plus,Median_Income,Heart_Disease_Prevalence,Diabetes_Prevalence,Obesity_Prevalence,Arthritis_Prevalence
00001,960,28480,4.6,20.4,42.1,33.8
00002,3872,131846,8.2,21.7,43.5,20.4
00003,3192,149437,5.7,15.4,30.9,36.6
00004,566,40860,8.9,10.9,31.5,32.5
00005,4526,93578,8.0,23.9,30.2,26.2
00006,3544,142524,14.8,24.2,26.6,39.1
00007,3271,82230,14.0,9.5,41.4,33.8
00008,3019,82026,10.0,20.7,46.8,27.0
00009,230,31564,5.1,5.8,32.2,22.5
00010,1785,45012,9.7,5.0,41.6,21.6
00011,869,79169,12.5,12.0,34.7,21.5
00012,2491,133537,3.5,14.3,23.8,26.5
00013,2533,115222,8.2,15.9,35.4,19.8
00014,1284,119416,3.5,12.6,28.0,32.9
00015,4655,51341,5.9,7.6,40.1,35.9
00016,3485,81758,4.1,11.9,33.5,17.0
00017,4217,108121,14.5,21.4,40.3,33.6
00018,4943,134474,5.0,11.7,34.4,27.7
00019,3004,71841,4.8,16.8,42.8,17.0
00020,574,117584,14.7,18.6,49.9,22.6
00021,1182,68335,9.2,19.6,45.8,37.1
00022,2658,80155,12.1,14.8,41.2,32.9
00023,2147,123314,6.9,7.5,27.4,25.0
00024,2847,106147,9.4,23.0,37.1,32.8
00025,1075,54527,3.1,10.2,39.0,21.5
00026,1906,120466,7.9,11.8,42.0,19.6
00027,289,73775,9.7,20.5,25.8,38.0
00028,2834,133085,9.2,20.3,35.5,23.2
00029,3105,75653,7.9,22.9,33.9,20.3
00030,4758,49704,12.5,5.7,27.9,30.1
00031,1999,131209,9.0,22.5,36.2,37.0
00032,1367,126907,10.6,20.8,47.3,34.0
00033,1628,143883,5.2,15.5,43.1,26.0
00034,3302,58057,13.3,8.2,36.7,30.9
00035,3656,128992,7.4,15.9,41.9,20.0
00036,3990,32393,8.8,8.9,43.7,27.8
00037,746,100404,7.2,24.3,41.7,36.0
00038,2988,136740,13.7,19.2,45.8,38.3
00039,2535,65373,13.8,16.9,43.3,33.3
00040,700,116956,5.7,21.3,44.8,24.8
00041,2463,135131,12.0,15.6,35.6,21.7
00042,2161,109613,4.2,6.2,35.1,23.0
00043,341,84171,3.4,10.2,30.7,33.8
00044,2141,54336,13.0,24.6,34.8,19.8
00045,2924,83714,4.6,22.0,40.9,25.1
00046,2712,37985,4.9,23.5,29.3,39.1
00047,1463,37014,10.3,7.0,26.7,37.9
00048,1578,33374,12.8,10.0,46.4,38.0
00049,2656,140038,5.3,6.3,20.8,16.4
00050,875,110506,4.4,21.4,48.0,38.4
00051,4114,47299,3.9,8.5,45.5,19.7
