ZCTA,Population_65plus,Median_Income,Heart_Disease_Prevalence,Diabetes_Prevalence,Obesity_Prevalence,Arthritis_Prevalence
18501,2644,147463,7.7,7.3,44.6,25.7
18502,1429,34204,11.8,9.0,23.2,20.7
18503,3713,109944,10.7,7.4,42.7,31.1
18504,560,126374,3.2,7.5,30.5,38.7
18505,906,107994,10.9,22.7,45.7,29.8
18506,3799,47352,11.6,23.0,44.8,31.9
18507,2373,140156,14.8,19.7,39.5,24.4
18508,158,76067,10.0,20.6,47.5,34.7
18509,2575,111403,11.2,12.2,36.3,16.0
18510,4923,48613,12.5,15.9,27.2,25.0
18511,1255,104190,4.2,21.3,39.6,32.9
18512,597,48704,11.8,14.8,25.7,16.9
18513,4425,107655,9.6,19.7,42.9,38.1
18514,4528,33133,4.2,13.5,46.4,36.7
18515,4076,121296,11.0,11.9,40.0,33.7
18516,1707,87949,5.8,21.9,34.7,20.7
18517,820,82321,9.5,11.7,48.6,16.7
18518,1374,79200,6.4,14.5,43.7,25.9
18519,3967,106573,4.3,7.2,33.8,24.2
18520,790,112741,6.0,15.2,36.5,16.7
18521,4123,68816,8.3,17.1,41.5,29.3
18522,4252,112596,8.9,12.8,33.2,39.1
18523,3537,106615,4.8,17.9,32.1,32.7
18524,2455,45861,6.9,13.8,46.0,37.2
18525,849,41479,13.3,13.5,30.8,15.8
18526,3151,99639,13.9,13.5,49.8,20.7
18527,4873,54458,9.4,22.2,30.2,33.6
18528,3664,127692,8.9,19.6,42.5,32.8
18529,4755,102034,10.0,14.1,35.3,17.6
18530,1804,45820,5.6,17.8,21.8,39.5
18531,3545,99446,14.9,21.5,44.0,23.2
18532,4544,68964,11.9,14.1,45.0,22.9
18533,2477,80833,5.9,21.9,42.4,29.2
18534,3331,83717,6.3,8.5,47.6,36.6
18535,2315,48399,10.8,16.9,21.9,27.3
18536,985,48758,6.9,12.2,29.3,31.0
18537,964,144743,7.3,7.0,49.6,37.4
18538,3594,32658,12.4,22.8,35.1,17.8
18539,3154,133924,6.2,14.8,28.1,32.9
18540,885,122420,11.5,15.8,30.9,39.9
18541,556,146690,14.2,15.4,48.3,26.5
18542,444,105801,4.5,15.9,41.7,37.8
18543,653,80162,4.7,16.7,23.6,18.0
18544,887,45065,14.3,22.4,27.6,30.0
18545,1919,130494,5.4,24.0,23.2,33.7
18546,804,76961,3.3,17.4,45.9,39.7
18547,1052,72467,13.4,12.5,31.0,35.2
18548,914,123041,6.4,15.3,49.3,18.8
18549,1648,36411,6.6,19.1,49.4,32.5
18550,243,134109,5.7,15.6,39.8,16.2
18551,2877,87408,14.0,10.2,40.7,28.7
18552,3866,57697,12.3,17.1,34.8,37.0
18553,3925,40162,10.2,22.8,32.5,21.7
18554,1316,96571,8.4,7.1,31.5,21.7
18555,1907,47510,4.7,6.4,47.8,36.9
18556,4570,82848,14.1,24.5,32.0,17.1
18557,4872,71925,12.0,21.1,48.9,21.8
18558,2839,96664,6.3,13.3,43.5,34.9
18559,1389,51841,14.4,5.6,26.9,17.5
18560,655,63746,14.2,23.7,30.3,30.2
18561,962,105353,10.9,20.9,24.4,15.6
18562,2585,110980,14.8,17.1,24.7,24.6
18563,2455,139079,5.2,20.8,36.6,34.3
18564,1065,93520,11.8,17.6,28.3,35.4
18565,2495,44180,4.8,18.5,48.4,32.5
18566,575,30444,11.3,23.1,31.0,20.2
18567,1438,128235,14.0,13.1,21.4,33.3
18568,624,110846,9.4,15.6,23.6,32.5
18569,2671,147644,12.2,20.6,31.0,36.5
18570,661,94344,4.7,10.4,35.8,38.0
18571,3802,99216,10.6,17.0,20.8,36.6
18572,4764,71487,3.8,12.0,30.4,31.5
18573,1305,130615,3.4,6.0,42.2,34.1
18574,4133,48327,10.6,8.1,23.1,37.0
18575,3947,51834,9.9,7.3,23.4,26.6
18576,4301,109633,7.0,16.0,29.4,24.5
18577,2338,86698,9.2,7.4,23.1,20.2
18578,1260,50826,11.2,15.9,31.5,21.6
18579,4895,96654,10.7,19.7,41.6,28.6
18580,3925,129017,3.9,17.6,49.5,18.3
18581,171,119072,11.1,20.0,21.4,34.9
18582,854,39707,10.9,14.8,37.3,19.3
18583,3952,141102,11.0,19.8,26.8,24.1
18584,1004,116103,13.2,20.8,33.3,18.8
18585,151,145919,9.9,10.0,49.8,36.3
18586,2721,49975,14.3,22.1,49.8,35.1
18587,3290,37596,14.8,23.7,38.2,23.8
18588,4048,78207,12.0,19.6,25.0,25.7
18589,1387,61867,7.3,24.4,35.0,37.3
18590,4880,144980,4.7,6.3,45.1,17.8
18591,1872,116679,12.8,8.0,37.2,38.7
18592,4002,28817,4.8,23.1,41.5,21.0
18593,4020,51849,4.8,5.6,43.1,31.3
18594,1049,97018,14.0,16.8,33.7,25.2
18595,3238,145013,9.7,10.4,40.1,27.1
18596,2516,99853,6.5,14.1,23.7,17.4
18597,2379,80353,14.6,12.7,31.5,30.0
18598,1525,47284,11.5,8.8,35.3,36.3
18599,1684,126627,9.4,16.7,41.8,26.4
18600,1146,130950,7.0,9.1,33.9,33.8
18601,2265,76755,11.1,13.1,48.7,23.3
18602,4123,36691,11.8,20.4,28.5,29.9
18603,1276,26565,11.5,18.4,25.3,17.7
18604,2260,66878,5.3,18.0,26.0,37.0
18605,1131,111539,11.4,15.0,31.1,38.6
18606,3388,106386,10.0,8.8,35.9,37.9
18607,4626,86965,13.2,13.9,29.4,26.4
18608,1415,75467,10.5,14.4,46.0,17.9
18609,992,89556,4.8,9.1,41.0,27.1
18610,206,130671,6.8,17.0,28.0,29.4
18611,3180,29119,11.9,15.3,42.9,29.2
18612,844,72866,11.9,11.5,37.3,31.4
18613,721,108574,5.7,9.1,40.6,21.0
18614,4340,143146,7.3,7.8,48.3,16.8
18615,920,133109,3.2,22.6,27.4,25.4
18616,511,139098,7.0,23.8,47.6,31.3
18617,213,90777,3.3,21.4,41.1,22.0
18618,2546,143986,13.5,16.9,26.3,33.6
18619,3446,29332,11.0,24.2,47.3,34.7
18620,4319,148830,14.6,14.3,33.2,21.6
18621,185,60837,13.7,5.9,26.2,30.4
18622,4242,66253,10.2,12.5,28.0,15.9
18623,1672,73475,9.0,8.6,41.8,26.6
18624,2105,38398,13.6,18.8,48.3,21.3
18625,4179,62073,6.6,10.9,27.1,34.0
18626,903,50363,5.7,14.4,47.5,28.2
18627,3434,141320,7.9,23.7,21.9,31.7
18628,3449,77225,3.6,24.9,23.7,24.0
18629,1169,78222,6.6,15.7,30.9,31.1
18630,2769,43660,4.0,10.5,37.6,16.2
18631,4241,136001,3.6,13.8,37.2,21.4
18632,2871,134810,9.6,22.5,21.3,23.7
18633,4735,138409,11.5,9.8,21.1,26.6
18634,4282,87402,9.4,6.3,39.8,34.6
18635,1508,149371,3.8,21.4,33.4,23.2
18636,3840,37745,7.7,15.6,34.4,34.0
18637,364,125905,4.3,22.9,20.9,28.8
18638,3948,84604,10.8,18.7,50.0,31.6
18639,3193,35023,12.9,5.7,37.7,30.9
18640,4898,104752,4.4,20.7,47.4,21.7
18641,1573,49961,3.8,8.8,31.0,25.1
18642,4381,120643,7.9,7.5,36.8,39.8
18643,425,81834,6.6,16.2,32.8,16.6
18644,1306,74679,6.1,13.8,23.6,23.1
18645,4592,59179,5.5,11.0,33.1,25.3
18646,1604,85694,6.8,16.8,27.1,23.9
18647,3634,79237,14.6,19.9,27.9,25.7
18648,1540,45581,13.3,14.9,42.6,35.9
18649,1055,88052,10.2,20.8,30.2,39.4
18650,654,107309,12.6,13.4,42.3,36.3
18651,3354,99953,3.2,15.0,49.5,22.5
18652,4239,45022,4.3,15.9,29.8,27.6
18653,4677,94328,6.5,11.3,27.1,30.3
18654,2136,87855,10.7,12.3,42.6,15.2
18655,1386,42224,13.6,15.2,37.2,18.0
18656,1297,132873,5.8,22.7,43.9,31.0
18657,4761,145400,4.7,16.0,24.7,29.3
18658,2367,120987,13.2,7.2,39.7,31.1
18659,3729,25234,7.9,19.6,41.6,36.2
18660,3565,74265,11.4,15.3,24.0,24.6
18661,871,105853,9.6,13.0,24.6,17.5
18662,2556,112999,5.1,18.8,48.2,29.5
18663,570,28138,11.4,8.3,25.7,35.8
18664,1470,107728,8.0,20.7,40.6,20.8
18665,3232,30159,6.5,19.3,36.3,24.9
18666,771,82052,13.8,8.7,44.8,16.9
18667,1274,74562,3.1,21.9,21.5,26.6
18668,210,141006,7.9,8.9,20.4,23.0
18669,3659,119198,6.6,18.5,42.5,31.5
18670,1126,128988,3.7,12.4,46.4,24.8
18671,3654,144591,4.0,20.1,39.0,32.5
18672,3333,149467,5.1,6.2,31.5,19.4
18673,4539,132556,9.1,10.0,33.3,34.2
18674,1572,25066,6.4,14.4,43.3,24.7
18675,2479,97082,13.1,19.3,35.5,27.0
18676,4972,104521,5.9,17.3,40.6,20.4
18677,3071,76405,11.6,24.1,48.5,33.8
18678,2481,82684,5.5,16.2,28.2,22.3
18679,3390,33187,3.5,11.0,24.7,37.4
18680,4853,47337,6.2,13.7,45.5,24.9
18681,1933,37169,13.1,6.5,40.9,27.2
18682,553,71131,4.0,7.3,34.5,26.6
18683,840,101201,7.1,15.4,37.1,30.1
